"timestamp","Clarifier 2 SLR (ppd/sf)","Clarifier 2 SOR (gpd/sf)","Clarifier 9 SLR (ppd/sf)","Clarifier 9 SOR (gpd/sf)","Clarifier 10 SLR (ppd/sf)","Clarifier 10 SOR (gpd/sf)","NSEC ACTUAL ASRT (days)","Solids Wasted via Effluent (tpd)","Solids Wasted via SWAS (tpd)","Solids Wasted via WAS (tpd)","NSEC MIN ASRT (days)","Total Solids Wasted (tpd)","NNE Total COD (Low Level) (LAB) (mg/L)","NNE NH3A (LAB) (mg/L)","NNE NO2 (LAB) (mg/L)","NNE NO5 (LAB) (mg/L)","NNE OP (LAB) (mg/L)","NNE PWS (LAB) (mg/L)","NNE PW (LAB) (mg/L)","NNE TKNH (LAB) (mg/L)","NNE TSS (LAB) (mg/L)","NNE VSS (LAB) (mg/L)","NAB2 Clarifier Effluent Total COD (Low Level) (LAB) (mg/L)","NAB2 Clarifier Effluent Soluble COD (LAB) (mg/L)","NAB2 Clarifier Effluent E. coli (LAB) (EC/100mL)","NAB2 Clarifier Effluent NH3 (LAB) (mg/L)","NAB2 Clarifier Effluent NO2 (LAB) (mg/L)","NAB2 Clarifier Effluent NO5 (LAB) (mg/L)","NAB2 Clarifier Effluent OP (LAB) (mg/L)","NAB2 Clarifier Effluent PWH (LAB) (mg/L)","NAB2 Clarifier Effluent PWS (LAB) (mg/L)","NAB2 Clarifier Effluent PW (LAB) (mg/L)","NAB2 Clarifier Effluent TKND (LAB) (mg/L)","NAB2 Clarifier Effluent TKNH (LAB) (mg/L)","NAB2 Clarifier Effluent TSS (LAB) (mg/L)","NAB2 Clarifier Effluent VSS (LAB) (mg/L)","NAB4 Clarifier Effluent E. coli (LAB) (EC/100mL)","NSI Soluble COD (LAB) (mg/L)","NSI Total COD (LAB) (mg/L)","NSI E. coli (LAB) (EC/100mL)","NSI NH3A (LAB) (mg/L)","NSI NO2 (LAB) (mg/L)","NSI NO5 (LAB) (mg/L)","NSI OP (LAB) (mg/L)","NSI PWS (LAB) (mg/L)","NSI PW (LAB) (mg/L)","NSI TKNH (LAB) (mg/L)","NSI TSS (LAB) (mg/L)","NSI TVAH (LAB) (mg/L)","NSI VSS (LAB) (mg/L)","NAB2 OF TSS (LAB) (mg/L)","NAB2 OF VSS (LAB) (mg/L)","NAB2 UF Total COD (LAB) (mg/L)","NAB2 UF TKNH (LAB) (mg/L)","NAB2 UF TSS (LAB) (mg/L)","NAB2 UF VSS (LAB) (mg/L)","NAB2 C-Pass Total COD (LAB) (mg/L)","NAB2 C-Pass TKNH (LAB) (mg/L)","NAB2 C-Pass TSS (LAB) (mg/L)","NAB2 C-Pass VSS (LAB) (mg/L)","NAB4 C-Pass TKNH (LAB) (mg/L)","NAB4 C-Pass TSS (LAB) (mg/L)","NAB9 C-Pass Total COD (LAB) (mg/L)","NAB9 C-Pass TKNH (LAB) (mg/L)","NAB9 C-Pass TSS (LAB) (mg/L)","NAB9 C-Pass VSS (LAB) (mg/L)","WAS North Quad 1 and 3 TSS (LAB) (mg/L)","WAS North Quad 1 and 3 VSS (LAB) (mg/L)","NAB2 RAS TSS (LAB) (mg/L)","NAB2 RAS VSS (LAB) (mg/L)","NAB9 Clarifier Effluent E. coli (LAB) (EC/100mL)","GTE Soluble COD (LAB) (mg/L)","GTE NH3A (LAB) (mg/L)","GTE NO2 (LAB) (mg/L)","GTE NO5 (LAB) (mg/L)","GTE OP (LAB) (mg/L)","GTE PWS (LAB) (mg/L)","GTE PW (LAB) (mg/L)","GTE TKNH (LAB) (mg/L)","GTE TSS (LAB) (mg/L)","GTE TVAH (LAB) (mg/L)","GTE VSS (LAB) (mg/L)","AB2 ASRT (d)","AB2 Anaerobic F/M  (g sCOD/ g MLSS)","AB2 Anaerobic HRT (h)","AB2 Dilution Factor (h)","AB2 Floc ASRT (d)","AB2 Granule ASRT (d)","AB2 HRT (h)","AB2A DO (mg/L)","AB2B DO (mg/L)","AB2C DO (mg/L)","AB4A DO (mg/L)","AB4B DO (mg/L)","AB4C DO (mg/L)","AB9A DO (mg/L)","AB9B DO (mg/L)","AB9C DO (mg/L)","NSEC EFF TSS (mg/L)","AB2A NO5 (mgN/L)","AB2A NH3 (mg N/L)","AB2C NH3 (mg N/L)","AB2C NO5 (mg N/L)","AB2C MLSS (mg/L)","SAR 2 PH (Std Units)","SAR 2 ORP (mV)","SAR 4 PH (Std Units)","SAR 4 ORP (mV)","CARRB1 PH (Std Units)","CARRB3 PH (Std Units)","SAR 2 MLSS (mg/L)","SAR 4 MLSS (mg/L)","AB4A NO5 (mg N/L)","AB4A NH3 (mg N/L)","AB4C NH3 (mg N/L)","AB4C NO3 (mg N/L)","AB4C MLSS (mg N/L)","NSI NH3 (mg N/L)","NSI TSS (mg/L)","NSI COD (mg/L)","NSI sCOD (mg/L)","SAR 2 OP (mg P/L)","AB9C NH3 (mg N/L)","AB9C NO2 (mg N/L)","AB9C NO3 (mg N/L)","AB9C OP (mg P/L)","AB9A NO5 (mg N/L)","AB9A NH3 (mg N/L)","AB9C MLSS (mg/L)","AB9C PH (Std Units)","SC2 TSS (mg/L)","AB2 INF FLOW (MGD)","AB2 RAS FLOW (MGD)","AB2 MLR FLOW (MGD)","AB2A AIRFLOW (SCFM)","AB2B AIRFLOW (SCFM)","AB2C AIRFLOW (SCFM)","AB4 INF FLOW (MGD)","AB4 MLR FLOW (MGD)","AB4A AIRFLOW (SCFM)","AB4B AIRFLOW (SCFM)","AB4C AIRFLOW (SCFM)","AB9 INF FLOW (MGD)","AB9 MLR FLOW (MGD)","AB9A AIRFLOW (SCFM)","AB9B AIRFLOW (SCFM)","AB9C AIRFLOW (SCFM)","Q1 RAS FLOW (MGD)","Q2 RAS FLOW (MGD)","Q3 RAS FLOW (MGD)","Q4 RAS FLOW (MGD)","SAR2 RAS FLOW B (MGD)","SAR2 RAS FLOW D (MGD)","SAR4 RAS FLOW A (MGD)","SAR4 RAS FLOW B (MGD)","AB2 PRI FLOW (MGD)","AB2 RAS PIPE FLOW (MGD)","AB2 WAS PUMP FLOW (gpm)","AB2 CYCLONE OF (gpm)","SAR2 GTE FLOW (gpm)","SAR4 GTE FLOW (gpm)","AB2 GTE FLOW (gpm)","NSI FLOW (MGD)","AB2 CYCLONE UF (gpm)","NSEC BASIN IN SVC (#)","SC2 BLANKET (ft)","SC4 BLANKET (ft)","SC9 BLANKET (ft)","NAB2 C-Pass dSVI 30 (mL/g)","NAB2 C-Pass dSVI 5 (mL/g)","NAB4 C-Pass dSVI 30 (mL/g)","NAB4 C-Pass dSVI 5 (mL/g)","NAB9 C-Pass dSVI 30 (mL/g)","NAB9 C-Pass dSVI 5 (mL/g)","Clarifier 4 SLR (ppd/sf)","Clarifier 4 SOR (gpd/sf)","AB2 CYCLONE PRESSURE PV (psi)","AB2 CYCLONE PRESSURE STPT (psi)","AB2 CYCLONE SKID 1 PRESSURE (psi)","AB2 CYCLONE SKID 2 PRESSURE (psi)","NSI TEMP (C)"
2022-04-01,24.00530501,824.1993548,30.74970152,1100.870478,31.49588056,1187.847653,5.848403931,2.239155207,45.999018,0.02248922384,6.004873445,48.23243337,NA,1.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.1,NA,NA,NA,NA,NA,NA,75,NA,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.300000191,NA,-6923.170117,NA,NA,NA,-129022.7179,0.3059904787,1.514295828,0.8521374992,0.3635258539,1.071535454,0.4934660742,0.4035045268,1.04956335,0.6063926007,8.559107973,0.07599456656,8.985744727,1.45504497,6.727469489,3508.165108,0,-332.8295693,0,-281.045909,6.833285387,6.830385641,4668.104102,4723.704217,0,7.936772319,2.003269621,3.395579025,3451.066068,34.78361664,87.48209596,NA,NA,18.02853322,1.756357549,0.3506721558,3.601118208,0.05000000075,0.4072655538,7.578288037,3362.511669,6.744367928,9.459771188,10.9289783,0,16.90952872,984.7180545,2056.052983,1194.085989,14.83632833,19.35544012,1001.203764,2555.318322,767.0556219,14.58483952,19.22312657,717.8407095,1808.42559,958.9605691,25.30734223,20.3697939,25.84378242,25.85662871,4.997744115,4.998958127,4.999281899,5.002040653,-0.0007752132896,0.002742752444,0,0.09202961966,1153.332316,1141.638209,0,65.32653614,0,12,5.458486566,5.774457843,4.851477255,NA,NA,NA,NA,NA,NA,32.08082332,1118.771362,-1.406250954,33,0.1874998212,-1.406250954,15.73555722
2022-04-02,24.37804659,850.2471593,31.21532202,1135.702735,32.05908177,1228.837081,5.597961903,2.272275903,43.46044929,4.06950041,5.600519023,49.80015697,29,1.34,NA,3.52,0.01,0.05,0.23,3.3,8,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,171,388,NA,33.4,NA,0,3.32,3.37,4.5,41.8,75,NA,67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.300000191,NA,-73946.15402,NA,NA,NA,-1378087.437,0.4437824361,1.590016566,0.7996545171,0.465937986,1.161926253,0.7351814305,0.497562349,1.204214774,0.7761016987,8.459225701,0.05931404993,8.904359342,1.126481061,7.026381714,3462.346024,0,-349.8306485,0,-258.3195177,6.77675358,6.77381634,4516.940059,4557.828383,0,7.375741134,1.606835817,3.77907747,3401.808304,33.42852365,85.82229326,NA,NA,15.87433032,1.59351138,0.6989063723,3.877398143,0.05000000075,0.6456037258,7.13963241,3315.281198,6.722990873,13.88444906,11.27487197,0,16.90886102,974.6215797,1862.688543,1010.673526,15.11887633,19.34203679,1000.61833,2331.074343,786.9945449,15.08459347,19.2171566,715.7105925,1761.959968,865.5105735,25.91534054,27.50726336,27.4958452,27.49785627,5.000086909,4.999762815,4.996221832,5.001054329,-0.001091387848,0.003152010354,0,0.0959699386,1143.540256,1143.958298,0,66.16533648,0,12,5.026742054,5.416717994,4.665167703,NA,NA,NA,NA,NA,NA,32.11495386,1138.678833,-1.406250954,33,0.1874998212,-1.406250954,15.71519693
2022-04-03,24.48515435,866.2084192,31.59318219,1169.603792,31.96947666,1248.148157,5.317060947,2.415236452,42.84949796,6.294067408,5.459979157,51.55636039,NA,1.06,NA,NA,NA,NA,NA,NA,8,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.3,NA,NA,NA,NA,NA,NA,72,NA,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.300000191,NA,-12430.84029,NA,NA,NA,-231665.6612,0.4567149352,1.931192936,1.059236892,0.4632847054,1.154062849,0.7289675664,0.501478013,1.267979837,0.7972572465,8.536302107,0.0725624331,8.762485007,0.7210146756,7.713289595,3411.550005,0,-361.3492514,0,-252.9376868,6.719630615,6.732713427,4456.04948,4482.250494,0,7.435008452,1.688836799,3.810710881,3342.358621,31.77366182,82.28315227,NA,NA,15.56540514,1.763024656,0.6334972892,3.983374285,0.0502294041,0.7331373004,7.222200077,3259.104222,6.72343729,212.8058516,11.5116971,0,16.8901867,976.218963,2040.980296,1152.034882,15.41816879,19.34788082,1000.782913,2368.952458,801.2653134,15.5249847,19.20309689,772.7578003,1870.306899,846.8843416,25.92393874,27.49621963,27.49794405,27.49924898,4.99767059,4.9986513,4.997056285,4.999838459,-0.001227921356,0.003563002481,0,0.0941997006,1154.327705,1152.716488,0,69.32735545,0,12,5.016206309,5.385367904,4.646359557,NA,NA,NA,NA,NA,NA,32.13971138,1159.500686,-1.406250954,33,0.1874998212,-1.406250954,15.67342989
2022-04-04,25.148751,895.033727,31.8868706,1190.467592,32.46607989,1283.225543,5.209858418,2.67238505,43.17043846,6.302875785,4.957217922,52.14488797,15,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,204,430,NA,32.7,NA,NA,NA,NA,NA,NA,89,NA,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.300000191,NA,-48836.00816,NA,NA,NA,-910125.6457,0.2409435627,2.387429664,1.475081472,0.3136530737,1.228769346,0.89028956,0.4890016078,1.338434281,0.9263192946,8.985240985,0.1179291112,8.953644487,0.6016107069,8.448420549,3387.812236,0,-395.7938578,0,-261.9299813,6.783578988,6.744561043,4484.840019,4525.089992,0,8.136143948,1.767030409,4.068206515,3333.406259,31.21845811,84.320219,NA,NA,16.84583043,1.110162854,0.4954343525,4.549403275,0.05000000075,0.6742096092,7.257069531,3231.608689,6.738504403,44.67397688,11.92203723,0,16.88161215,962.2625273,2620.005257,1539.677287,15.75771336,18.37484163,998.8896942,3004.313184,1093.970237,15.83520248,19.19204207,881.4252915,2346.538892,1126.685107,25.90619361,27.51085482,27.49883006,27.49439984,4.995719368,4.999932337,4.995308892,5.000131578,-0.00135952025,0.002734938125,0,0.09805346384,1139.355347,1138.309329,0,73.4982335,0,12,5.199481059,5.445026386,4.740705831,NA,NA,NA,NA,NA,NA,32.82270547,1186.453198,-1.406250954,33,0.1874998212,-1.406250954,15.85350748
2022-04-05,25.71739084,912.9201495,32.65568521,1213.753094,33.03870404,1301.766558,5.67279911,3.195990543,43.21256978,1.584610102,4.732857825,47.99895507,33,1.4,0.42,3.86,0.02,0.07,0.32,3.5,10,8,45,28,NA,NA,NA,NA,0.01,NA,0.06,0.34,NA,NA,10,9,NA,186,407,NA,33.6,0.02,0,3.35,3.53,5.19,44,92,45,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.300000191,NA,-226440.6444,NA,NA,NA,-4220030.215,0.1647328465,1.848257316,1.511751359,0.2764566925,1.308919052,0.8475489987,0.5809886031,1.517075673,1.022999115,10.30593161,0.1037770677,9.521766206,0.8640691997,7.783422883,3393.035348,0,-408.5797903,0,-276.8780849,6.818961644,6.738524324,4530.50606,4560.011054,0,8.07387584,2.015069235,4.064671976,3318.406462,33.59691089,84.74582188,NA,NA,17.99295966,1.163429759,0.4070199891,4.421062713,0.05036367901,0.3698287498,7.690953667,3242.330487,6.747287873,10.23830544,12.14582962,0,16.87415985,969.4269153,2383.748879,1840.234324,15.99505746,19.47915083,1000.288553,3098.491698,1005.016886,16.13155256,19.18181077,900.0671512,2477.814638,1101.33212,25.88742956,27.49492825,27.50049331,27.50124713,4.999472477,5.000617086,4.99827351,5.001494432,-0.0008290855746,0.003504960834,0,0.09529505036,1114.350343,943.9843576,0,74.93087319,0,12,5.237197545,5.473893294,4.857867929,NA,NA,NA,NA,NA,NA,33.15846199,1203.321058,-1.406250954,33,0.1874998212,-1.406250954,15.86746915
2022-04-06,25.45406044,885.2576904,32.94974309,1195.268787,33.23157112,1276.367739,7.217955589,2.4999868,36.1249219,0.006208384056,5.844982284,38.64414088,NA,2.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.8,NA,NA,NA,NA,NA,NA,84,NA,73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.300000191,NA,-675067.9663,NA,NA,NA,-12580812.98,0.1778224731,1.832020594,1.37656907,0.31794453,0.8422009454,0.5242256971,0.5126011601,1.243656183,0.9213629716,8.407135438,0.09036325877,10.01006528,1.513731627,7.838084821,3463.855309,0,-410.1150613,0,-275.599109,6.788024734,6.689719013,4567.72347,4583.244917,0,8.891032783,3.463803104,3.644804315,3395.773056,34.54321386,84.82306907,NA,NA,18.17785062,2.268942697,0.4944659045,3.553484776,0.05000000075,0.2657746152,8.542267615,3324.25952,6.729796276,9.265145367,11.76916255,0,16.85311428,950.718963,2224.490677,1520.051413,15.56480384,19.43322825,999.2652143,2383.631691,829.0616032,15.85200332,19.14861736,772.8136233,2018.656446,1014.770425,25.82340702,27.50779245,27.4955835,27.6101088,4.997318416,4.999876161,4.996125378,4.999244847,-0.0007367431656,0.005265047455,0,0.09393631022,1152.891215,1083.694325,0,71.02175102,0,12,5.44476461,5.743579621,5.072733214,NA,NA,NA,NA,NA,NA,33.05250174,1172.534812,-1.406250954,33,0.1874998212,-1.406250954,15.74129158
2022-04-07,25.88436337,888.0323741,33.41519286,1194.510166,33.91397053,1280.03168,6.0861516,2.219313263,44.18123556,0.001155014066,5.962293384,46.3908435,NA,1.69,NA,3.32,0.01,0.07,0.24,3.5,7,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.8,NA,0.07,3.08,3.24,4.88,43,87,NA,81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.300000191,NA,-91379.33039,NA,NA,NA,-1702978.383,0.1326118531,1.616843141,1.108250107,0.2722419705,0.8921004575,0.4247490617,0.5619758782,1.444307121,0.9755348531,7.539805718,0.1153373567,9.689200661,1.196657163,7.582318486,3508.844023,0,-411.8768449,0,-280.426555,6.801772925,6.675253601,4593.825664,4621.940239,0,8.846810695,3.094744921,3.528268275,3449.764895,31.29506878,91.56561133,NA,NA,18.32154246,1.370830872,0.4906540184,3.978176928,0.05000000075,0.3671593679,8.01831312,3367.629029,6.706912326,11.19014912,11.80011878,0,16.86167364,926.4007173,2169.981767,1427.200408,15.62613099,19.41048847,999.6940249,2634.741303,766.3188977,15.85717077,19.13125733,870.3146774,2298.196683,1028.95056,25.68073393,27.51115993,27.49668376,27.76185169,4.999972289,4.997538181,4.999555517,5.000034245,-0.002122524776,0.004984230763,0,0.09803861174,1170.510437,675.258102,0,73.23508746,0,12,5.679753937,5.946555797,5.283244824,NA,NA,NA,NA,NA,NA,33.74098186,1177.418903,-1.406250954,33,0.1874998212,-1.406250954,15.92187137
2022-04-08,26.56395441,896.6170483,33.70827752,1191.364524,34.59666369,1289.642978,5.66575098,2.197421954,44.01247656,4.274983303,5.816754435,50.47922684,NA,2.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.8,NA,NA,NA,NA,NA,NA,75,NA,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.300000191,NA,-29545.23055,NA,NA,NA,-550615.6456,0.1008176385,1.657771498,1.234194849,0.2156711798,0.9177511705,0.574123657,0.5467428033,1.380281596,0.8955583421,7.466103444,0.1365556986,9.806362255,1.832981557,7.254168276,3572.511202,0,-414.8987558,0,-289.4743471,6.742482072,6.66992359,4636.568898,4652.819103,0,9.269019202,3.229458099,3.585943213,3498.469909,29.56628852,111.9691958,NA,NA,18.89338223,1.793695421,0.5141518842,3.641226245,0.05000000075,0.3585466257,8.407305004,3411.93767,6.713685965,13.64284718,11.91259629,0,16.85203638,976.9229747,2227.265359,1597.993171,15.74959258,19.37589175,999.5922576,2639.488391,871.9430225,15.78861727,19.12507222,870.2156027,2230.270834,971.2818675,25.9047966,27.50049362,27.50575594,27.49691324,5.003409089,5.000549453,4.995399367,5.001289057,-0.001680821423,0.00364652304,0,0.095296096,1147.898346,943.0691549,0,72.2339624,0,12,5.836599288,6.102947302,5.482102577,NA,NA,NA,NA,NA,NA,34.40514523,1185.98203,-1.406250954,33,0.1874998212,-1.406250954,16.07228132
2022-04-09,25.89583653,877.8913142,33.24562812,1168.060167,34.1957943,1265.28588,5.519870281,2.20970483,43.40252305,6.442438617,6.541616533,52.05249403,16,1.83,NA,3.18,0.02,0.07,0.24,3.7,7,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,155,377,NA,30.5,NA,0,3.01,3.17,4.61,39.8,70,NA,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.300000191,NA,2909858.611,0,NA,NA,54229183.95,0.1499597495,1.655271382,1.012838388,0.2580090084,0.7146740849,0.4206611623,0.5091419936,1.212632691,0.7462932789,7.695254973,0.1204703191,9.257085871,2.163387052,6.065208181,3559.379249,0,-414.4856527,0,-290.5937828,6.741575897,6.677365632,4608.968961,4616.716712,0,8.922303331,3.294319926,3.106831145,3504.087258,29.3436167,98.83400972,NA,NA,18.35110097,2.059866731,0.3399022982,3.157451875,0.05012627578,0.5026504361,8.103149482,3429.613474,6.715332169,18.07447657,11.67406309,0.0003070287452,16.85602626,976.4166748,2020.520529,1124.995774,15.52826139,19.36638953,1001.210485,2197.482926,723.8590529,15.47983946,19.13332312,769.6154939,1911.457301,830.207632,25.88152178,27.50755571,27.49822675,27.5001473,4.998955588,4.998733635,5.000421007,5.002605839,-0.001567738359,0.0021282184,0,0.09400698191,1151.637766,781.6666077,0,69.93200371,0,12,5.683333951,6.022517378,5.405424957,NA,NA,NA,NA,NA,NA,33.96710569,1168.877237,-1.406250954,33,0.1874998212,-1.406250954,16.10603194
2022-04-10,25.44411894,876.5029519,33.1098696,1179.06977,33.84790186,1267.216768,5.529221058,2.288997175,43.38595907,5.764313433,5.942529887,51.44013139,NA,1.43,NA,NA,NA,NA,NA,NA,8,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.2,NA,NA,NA,NA,NA,NA,78,NA,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.300000191,NA,-19395.82079,NA,NA,NA,-361467.5597,0.1445311103,1.98528211,0.9700681983,0.2772441112,0.8343157375,0.5181089726,0.5401483407,1.31529139,0.8795340059,8.034349756,0.1218233469,8.620850001,1.046293878,7.089097158,3512.274096,0,-396.2533249,0,-286.4966172,6.76228651,6.672367063,4533.636347,4534.941286,0,8.203551216,2.467557706,3.662831997,3469.55521,28.3868515,82.40828043,NA,NA,17.27921358,1.657512174,0.4634644162,3.420710672,0.05000000075,0.5933679235,7.707334029,3391.285259,6.713483856,95.94172264,11.66516742,0,16.84355929,936.6845636,2179.744968,1094.761691,15.51392827,19.35682619,1000.735177,2339.984744,792.5446736,15.65552255,19.1144627,823.4078266,2044.4582,880.7758278,25.88809235,27.48834843,27.50018349,27.61477279,4.999909385,4.999994053,4.99620453,5.000471884,-0.001741806498,0.004046993758,0,0.09659406627,1152.571464,840.4589541,0,70.02837152,0,12,5.582250323,6.022415813,5.390136442,NA,NA,NA,NA,NA,NA,33.561318,1167.883528,-1.406250954,33,0.1874998212,-1.406250954,16.09078955
2022-04-11,26.32712158,906.8675575,33.70128471,1209.694941,34.30538197,1299.197398,5.334362507,2.5774794,43.88584119,6.335584023,5.335826649,52.79700809,37,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,175,422,NA,30.8,NA,NA,NA,NA,NA,NA,87,NA,76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.300000191,NA,-6816.79534,-2.739927451,NA,NA,-127040.2795,0.05991368832,1.77314416,1.195941351,0.1846824914,1.025928725,0.6521534801,0.5182297789,1.361936299,0.8743385631,8.488512482,0.1581091645,9.144739902,1.157116738,7.526765571,3504.235071,0,-398.1056548,0,-293.3547941,6.790407903,6.687940662,4539.401857,4558.063627,0,8.074457532,2.343810798,4.142631304,3447.170658,30.45721657,81.31845122,NA,NA,18.05896186,1.334589678,0.533066987,3.816320572,0.05000000075,0.536156083,7.828020289,3364.634962,6.731888296,68.41050466,12.05841899,0.002273572474,16.84145411,966.606207,2438.185823,1622.257912,15.8668122,19.34198995,1000.295624,2937.344668,967.2573016,16.05509898,19.10943591,914.9853344,2391.887445,1012.776119,25.88433447,27.50350797,27.5047012,27.49131648,5.002327138,4.999557411,4.999174583,5.000811668,-0.002114964654,0.003625941264,0,0.09934218988,1158.055962,759.8297955,0,74.19097111,0,12,5.835932142,6.089118453,5.559660323,NA,NA,NA,NA,NA,NA,34.11137237,1194.219888,-1.406250954,33,0.1874998212,-1.406250954,16.15270172
2022-04-12,18.80010862,627.3401734,33.83485476,1183.860553,34.52255897,1271.832149,4.375995636,2.339899801,43.88175583,11.01431837,5.108553443,57.22979809,40,0.91,0.34,2.95,0.05,0.09,0.27,2.9,7,6,43,44,NA,NA,NA,NA,0.09,NA,0.13,0.38,NA,NA,11,9,NA,200,414,NA,34.4,0,0,3.27,3.39,4.87,43.3,87,56,73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.300000191,NA,-161164.3914,0,NA,NA,-3003518.128,0.6245383102,1.789769552,0.7921102308,0.469855789,1.370096365,0.7303875159,0.4166398361,1.210362986,0.6391529821,9.006351087,-1.39781124,3.056137743,0.6469692587,4.239232709,2528.027979,0,-314.3042344,0,-220.253692,6.816695648,6.698261409,3432.276983,3460.852244,0,4.148934809,0.7427596207,2.892160532,2335.372536,36.17098497,79.76724204,NA,NA,17.62783139,1.699285458,0.2219352916,3.106456687,0.02170115845,0.6221065172,7.78496866,3438.764285,6.751040207,18.08509578,6.922516341,0.0005635738655,10.84854451,695.5748965,1762.937507,683.8878924,9.316832397,12.49027276,700.4163895,2133.441224,582.1746936,15.68535907,19.11177097,821.0131043,2140.488625,822.3210229,25.88604194,17.23625992,27.93886054,27.99009169,3.296162748,3.261721942,3.263304908,3.22215655,-0.00234766879,0.0032336731,0,0.06646148569,876.5230318,492.1475274,0,62.6147204,0,12,3.445306329,1.99979054,5.395671718,NA,NA,NA,NA,NA,NA,26.44938799,884.3624004,-24.79573934,31.05593858,-24.2347717,-24.79573934,16.17751489
